"contract_currency_rel","contract_id"
"contract_currency_rel","currency_id"
"invoice_serviceobject_rel","invoice_id"
"invoice_serviceobject_rel","serviceobject_id"
"area_location_rel","location_id"
"area_location_rel","area_id"
"note_user_partnercompany_rel","note_id"
"note_user_partnercompany_rel","user_id"
"note_user_partnercompany_rel","partnercompany_id"
"document_contract_documentcontracttype_rel","document_id"
"document_contract_documentcontracttype_rel","contract_id"
"document_contract_documentcontracttype_rel","documentcontracttype_id"
"unit","unit_id"
"unit","unit_name"
"unit","unit_symbol"
"unit","unit_short"
"areatype","areatype_id"
"areatype","areatype_name"
"areatype","areatype_description"
"contactperson","contactperson_id"
"contactperson","contactperson_firstname"
"contactperson","contactperson_lastname"
"contactperson","contactperson_department"
"contactperson","contactperson_shortname"
"contactperson","contactperson_function"
"contradictionpoint_textmodule_rel","contradictionpoint_id"
"contradictionpoint_textmodule_rel","textmodule_id"
"contradictionpoint_textmodule_rel","contradictionpoint_textmodule_text"
"contacttitle","contacttitle_id"
"contacttitle","contacttitle_title"
"invoicevaluetype","invoicevaluetype_id"
"invoicevaluetype","invoicevaluetype_name"
"invoicevaluetype","invoicevaluetype_description"
"contactperson_address_rel","contactperson_id"
"contactperson_address_rel","address_id"
"inspectionresult_rating_rel","inspectionresult_id"
"inspectionresult_rating_rel","rating_id"
"savingtype","savingtype_id"
"savingtype","savingtype_name"
"savingtype","savingtype_description"
"maturitytype","maturitytype_id"
"maturitytype","maturitytype_name"
"maturitytype","maturitytype_description"
"serviceobject_contract_rel","serviceobject_id"
"serviceobject_contract_rel","contract_id"
"inspectionresult","inspectionresult_id"
"inspectionresult","inspectionresult_value"
"inspectionresult","inspectionresult_comment"
"inspectionresult","inspectionresult_realised"
"inspectionresult","inspectionresult_unique_or_perennial"
"inspectionresult","inspectionresult_legally_clear"
"role_access_rel","role_id"
"role_access_rel","access_id"
"invoiceposition_costtype_rel","invoiceposition_id"
"invoiceposition_costtype_rel","costtype_id"
"note_usertype_rel","note_id"
"note_usertype_rel","usertype_id"
